NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Beacon city, New York",13713,92676,342200,3581,453,607,412,443,140,227,6275,36,05100
"Beaver Dam Lake CDP, New York",2458,107234,337400,863,0,6,0,0,0,0,880,36,05188
"Bedford CDP, New York",1864,250001,905800,718,7,22,0,0,0,0,747,36,05309
"Bedford Hills CDP, New York",2637,81250,444200,347,174,220,96,31,67,71,1107,36,05342
"Belfast CDP, New York",678,54524,68500,267,8,1,16,2,0,12,329,36,05562
"Bellerose village, New York",1165,203000,701300,370,6,0,11,0,0,0,387,36,05639
"Bellerose Terrace CDP, New York",2132,84808,468000,268,220,207,27,0,0,0,722,36,05661
"Belle Terre village, New York",791,186667,941500,293,2,0,0,0,0,2,297,36,05672
"Belleville CDP, New York",334,48713,141100,173,14,20,0,0,0,0,236,36,05683
"Bellmore CDP, New York",16603,148026,571300,5055,59,87,68,38,49,120,5487,36,05738
"Bellport village, New York",1957,126250,499500,1133,14,27,17,0,0,5,1205,36,05771
"Belmont village, New York",866,45000,77600,304,5,53,30,0,20,19,437,36,05815
"Bemus Point village, New York",210,39464,189600,163,8,13,12,4,27,16,243,36,05848
"Bergen village, New York",1074,73047,122900,361,3,36,21,14,11,0,446,36,06046
"Bethpage CDP, New York",17627,119703,529600,5110,90,278,165,133,247,59,6171,36,06387
"Big Flats CDP, New York",5929,85021,193500,2126,51,80,149,181,0,12,2629,36,06464
"Billington Heights CDP, New York",1823,71825,267900,874,0,0,0,0,0,23,897,36,06574
"Binghamton city, New York",47828,39012,95200,9228,917,5567,3017,2092,1501,666,24400,36,06607
"Binghamton University CDP, New York",6349,-666666666,-666666666,0,0,0,0,0,0,0,0,36,06644
"Black River village, New York",1754,64167,187700,605,39,18,57,37,0,58,852,36,06794
"Blasdell village, New York",2540,55000,127100,749,23,376,122,30,0,0,1364,36,06849
"Blauvelt CDP, New York",5255,166833,534100,1560,12,0,12,0,0,0,1584,36,06860
"Bliss CDP, New York",443,48750,91300,169,0,0,13,0,0,0,205,36,06904
"Blodgett Mills CDP, New York",259,82337,-666666666,109,0,0,0,0,0,0,127,36,06937
"Bloomfield village, New York",1435,79056,150700,443,26,34,15,23,60,30,663,36,06945
"Bloomingburg village, New York",625,25069,170800,88,16,58,43,0,5,31,254,36,06959
"Bloomville CDP, New York",228,70104,95000,86,0,17,0,9,0,0,129,36,07025
"Blue Point CDP, New York",4827,105000,485600,1708,272,0,36,19,39,19,2111,36,07069
"Bohemia CDP, New York",9504,108276,426200,2448,236,73,27,82,89,53,3402,36,07157
"Bolivar village, New York",893,45208,62300,364,4,14,29,0,11,20,445,36,07190
"Bolton Landing CDP, New York",390,-666666666,243900,407,37,0,64,15,11,5,539,36,07245
"Boonville village, New York",1971,43341,121700,585,0,108,54,35,0,6,900,36,07355
"Brasher Falls CDP, New York",769,41061,111500,199,0,60,0,0,7,8,339,36,07960
"Breesport CDP, New York",825,61087,111400,288,0,0,0,0,0,0,288,36,08004
"Brentwood CDP, New York",66035,105739,351000,11484,2018,538,177,87,194,101,15445,36,08026
"Brewerton CDP, New York",4699,71846,160100,1334,15,37,58,74,341,18,1896,36,08059
