Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,City
2018-03-21,1.69,88.94,10.23,20.67,1.0,5.85,"New York, New York"
2018-03-22,3.8,82.75,7.88,0.48,4.41,5.99,"New York, New York"
2018-03-23,3.92,79.0,5.22,0.01,4.93,5.98,"New York, New York"
2018-03-24,3.73,76.06,5.56,0.0,5.98,6.18,"New York, New York"
2018-03-25,3.0,80.5,6.39,0.03,3.06,6.15,"New York, New York"
2018-03-26,2.96,73.88,5.36,0.0,6.36,6.35,"New York, New York"
2018-03-27,2.8,73.88,3.38,0.13,3.46,6.42,"New York, New York"
2018-03-28,5.64,90.81,3.05,0.61,2.63,5.6,"New York, New York"
2018-03-29,7.11,95.5,3.41,0.56,2.14,5.58,"New York, New York"
2018-03-30,8.83,90.69,6.25,7.48,2.29,5.76,"New York, New York"
2018-03-31,5.4,73.25,5.74,0.0,6.72,6.71,"New York, New York"
2018-04-01,7.26,82.12,6.02,1.37,3.71,6.22,"New York, New York"
2018-04-02,3.1,82.19,4.83,13.99,2.87,6.48,"New York, New York"
2018-04-03,4.69,91.25,3.35,3.18,0.84,5.8,"New York, New York"
2018-04-04,7.44,84.0,8.68,6.25,2.76,6.2,"New York, New York"
2018-04-05,3.22,64.69,7.69,0.0,5.97,6.83,"New York, New York"
2018-04-06,5.99,84.0,6.2,1.48,3.47,6.16,"New York, New York"
2018-04-07,4.92,70.56,5.02,0.63,4.27,6.87,"New York, New York"
2018-04-08,2.43,66.88,7.47,0.01,6.24,7.04,"New York, New York"
2018-04-09,2.93,67.62,3.97,0.16,5.74,6.93,"New York, New York"
2018-04-10,4.79,80.19,3.09,1.04,3.76,6.78,"New York, New York"
2018-04-11,5.1,71.81,3.54,0.0,5.25,6.63,"New York, New York"
2018-04-12,7.92,87.69,5.91,0.01,3.76,6.25,"New York, New York"
2018-04-13,11.8,88.5,7.12,1.07,5.29,6.27,"New York, New York"
2018-04-14,11.18,92.56,6.2,0.37,6.54,6.61,"New York, New York"
2018-04-15,4.9,90.06,10.74,15.69,1.43,6.73,"New York, New York"
2018-04-16,8.9,93.0,10.55,43.58,2.54,6.74,"New York, New York"
2018-04-17,5.49,77.94,7.12,0.9,3.07,7.27,"New York, New York"
2018-04-18,6.29,74.56,5.4,0.03,6.33,7.27,"New York, New York"
2018-04-19,6.44,84.06,5.4,2.58,2.35,6.98,"New York, New York"
2018-04-20,5.09,73.38,7.22,0.01,7.4,7.51,"New York, New York"
2018-04-21,7.22,73.75,4.13,0.0,7.1,7.61,"New York, New York"
2018-04-22,8.46,72.38,3.62,0.0,7.48,7.6,"New York, New York"
2018-04-23,8.51,85.75,3.27,0.01,7.53,7.51,"New York, New York"
2018-04-24,9.45,87.56,4.7,0.69,5.57,7.52,"New York, New York"
2018-04-25,10.41,96.0,4.87,20.29,2.26,7.08,"New York, New York"
2018-04-26,12.53,79.0,3.83,0.31,7.22,7.58,"New York, New York"
2018-04-27,10.3,92.94,2.75,11.51,1.73,6.66,"New York, New York"
2018-04-28,10.62,91.88,3.07,1.12,6.06,7.27,"New York, New York"
2018-04-29,9.58,79.38,5.7,2.46,5.17,7.62,"New York, New York"
2018-04-30,7.65,81.38,6.08,0.9,3.99,7.7,"New York, New York"
2018-05-01,12.63,74.19,4.23,0.0,7.57,7.6,"New York, New York"
2018-05-02,15.68,78.25,6.19,0.02,7.69,7.85,"New York, New York"
2018-05-03,17.19,87.06,6.33,0.1,6.78,7.14,"New York, New York"
2018-05-04,16.72,90.62,5.98,0.9,3.94,6.73,"New York, New York"
2018-05-05,14.3,76.5,4.57,0.01,5.0,7.68,"New York, New York"
2018-05-06,12.39,91.25,3.38,2.76,2.03,6.73,"New York, New York"
2018-05-07,13.73,87.5,2.79,0.09,5.97,7.39,"New York, New York"
2018-05-08,12.71,87.19,2.87,0.01,7.47,7.7,"New York, New York"
2018-05-09,12.96,83.19,2.43,0.01,7.28,7.77,"New York, New York"
2018-05-10,12.97,91.56,4.28,4.11,5.2,7.34,"New York, New York"
2018-05-11,15.87,74.38,2.88,0.02,7.15,7.98,"New York, New York"
2018-05-12,13.44,90.0,3.35,11.15,2.32,6.76,"New York, New York"
2018-05-13,11.67,91.56,4.32,18.77,1.48,6.89,"New York, New York"
2018-05-14,13.91,91.38,3.01,6.42,4.94,7.44,"New York, New York"
2018-05-15,17.11,94.5,5.59,3.34,6.66,7.14,"New York, New York"
2018-05-16,14.18,93.88,4.56,15.58,1.58,6.96,"New York, New York"
2018-05-17,14.61,94.12,2.47,24.27,2.84,7.42,"New York, New York"
2018-05-18,13.48,82.69,6.45,0.24,3.42,7.52,"New York, New York"
2018-05-19,12.0,94.19,6.06,22.49,1.89,7.47,"New York, New York"
2018-05-20,17.7,89.81,5.66,1.54,4.95,7.58,"New York, New York"
2018-05-21,15.77,80.94,3.16,0.0,8.02,8.17,"New York, New York"
2018-05-22,14.15,91.75,2.6,7.63,1.93,7.2,"New York, New York"
2018-05-23,17.56,83.5,3.45,0.92,6.91,8.04,"New York, New York"
2018-05-24,18.08,74.44,4.13,0.0,8.26,8.27,"New York, New York"
2018-05-25,18.4,84.81,5.98,0.02,8.03,8.13,"New York, New York"
2018-05-26,20.25,88.19,4.49,0.36,6.55,7.66,"New York, New York"
2018-05-27,15.72,93.69,5.5,16.48,1.57,6.71,"New York, New York"
2018-05-28,13.94,90.5,3.52,4.89,3.66,7.62,"New York, New York"
2018-05-29,17.99,88.81,2.73,0.05,6.99,7.99,"New York, New York"
2018-05-30,16.02,93.94,3.61,0.16,4.0,7.82,"New York, New York"
2018-05-31,16.35,95.19,4.66,2.05,2.6,7.61,"New York, New York"
2018-06-01,18.46,95.06,2.85,4.83,4.89,7.56,"New York, New York"
2018-06-02,20.74,88.75,3.48,3.72,5.66,7.68,"New York, New York"
2018-06-03,14.39,84.06,8.59,6.47,3.81,7.89,"New York, New York"
2018-06-04,15.14,87.0,4.46,12.19,5.93,8.16,"New York, New York"
2018-06-05,16.9,83.44,4.2,0.55,6.21,8.15,"New York, New York"
2018-06-06,15.55,82.31,3.24,0.09,5.21,8.25,"New York, New York"
2018-06-07,15.4,89.38,3.77,0.01,6.03,7.87,"New York, New York"
2018-06-08,18.29,87.19,4.12,0.01,6.57,7.66,"New York, New York"
2018-06-09,19.57,83.69,2.17,0.06,6.73,7.65,"New York, New York"
2018-06-10,17.45,85.5,2.73,11.96,2.04,7.7,"New York, New York"
2018-06-11,15.82,78.81,4.66,5.22,6.41,8.28,"New York, New York"
2018-06-12,16.5,78.94,4.44,0.04,8.48,8.51,"New York, New York"
2018-06-13,18.9,93.5,5.54,2.6,3.05,7.44,"New York, New York"
2018-06-14,20.54,76.94,5.34,0.07,8.68,8.7,"New York, New York"
2018-06-15,18.71,77.62,3.55,0.03,7.61,8.56,"New York, New York"
2018-06-16,20.17,75.38,3.1,0.0,8.46,8.58,"New York, New York"
2018-06-17,21.01,80.0,3.42,0.03,8.02,8.32,"New York, New York"
2018-06-18,21.62,88.94,6.11,0.37,7.12,7.69,"New York, New York"
