NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Henderson city, Nevada",311250,79611,365900,92064,7607,982,6593,9476,5147,2283,131875,32,31900
"St. Paul city, Minnesota",309751,63483,232400,61837,5760,7897,5505,6016,9347,9869,127369,27,58000
"Cincinnati city, Ohio",308664,45235,162300,62368,7904,14118,18507,14131,16329,9590,159928,39,15000
"Newark city, New Jersey",306247,41335,271700,13324,12529,23430,29914,9476,6955,7170,120733,34,51000
"Pittsburgh city, Pennsylvania",303207,54306,147600,69426,23350,12938,10864,8355,7033,6928,157483,42,61000
"Orlando city, Florida",302968,58968,283700,46455,13698,3117,9781,14137,20493,17433,142115,12,53000
"St. Louis city, Missouri",302787,48751,153200,75768,6280,24488,24225,8647,5333,7495,173830,29,65000
"Irvine city, California",297868,114027,900700,42616,21601,1527,4736,7845,6562,5910,115917,06,36770
"Greensboro city, North Carolina",295483,51667,169100,70730,9432,2444,7445,14876,13544,7582,132010,37,28000
"Anchorage municipality, Alaska",292545,88871,327500,56649,16185,6372,12729,6852,4719,6892,118055,02,03000
"Lincoln city, Nebraska",289136,62566,193800,69607,9997,3950,4201,7185,10233,8548,122502,31,28000
"Jersey City city, New Jersey",287146,81390,437200,9402,9001,27379,15085,12964,7933,12012,127003,34,36000
"Plano city, Texas",282181,99729,358100,68460,4021,663,2947,7018,10804,4805,112373,48,58016
"Durham city, North Carolina",279106,66623,264100,65939,11880,4037,5192,9591,13948,5851,126044,37,19000
"Buffalo city, New York",276011,42186,112900,49176,4251,49538,10169,5268,3467,5246,136664,36,11000
"Chula Vista city, California",274818,92913,565400,46912,12472,713,3374,3920,4834,5045,88262,06,13392
"Chandler city, Arizona",272439,91299,351600,73927,5262,969,4217,7155,5377,2260,108077,04,12000
"Toledo city, Ohio",271454,41671,87400,87931,4503,6875,5619,6924,7432,5131,133505,39,77000
"Madison city, Wisconsin",265447,70466,277800,51221,5970,5664,8445,9325,8661,15843,122561,55,48000
"Fort Wayne city, Indiana",262676,53978,130700,79979,3079,3457,5258,8185,6040,3127,115994,18,25000
"Gilbert town, Arizona",262249,105733,377800,77621,3032,492,1089,2022,2673,1786,92375,04,27400
"Reno city, Nevada",259913,67557,391500,57982,6498,2030,7800,11705,8331,6081,114268,32,60600
"North Las Vegas city, Nevada",259638,64738,279800,65143,2726,1309,4676,4392,3049,1424,85930,32,51800
"St. Petersburg city, Florida",258245,64375,242100,78002,4170,3183,7084,6701,10201,10167,138276,12,63000
"Lubbock city, Texas",255537,54060,156400,71324,3779,3525,5467,5296,7896,4373,110296,48,45000
"Laredo city, Texas",254697,55603,147700,52690,2684,1256,3775,3147,2362,2418,79251,48,41464
"Irving city, Texas",254184,69961,218900,37996,3756,1405,4864,10310,16705,9068,98176,48,37000
"Winston-Salem city, North Carolina",247917,50204,158600,68476,5019,1875,5191,9629,10944,3181,111293,37,75000
