City,State,Total_Population,Median_Household_Income,Median_Home_Value,1_Unit_Detached,1_Unit_Attached,Total_1_Unit
Boston, Massachusetts,672814,81744,610400,36043,18855,54898
Knoxville, Tennessee,189339,44308,154500,49857,4660,54517
Chattanooga, Tennessee,180353,50437,189500,50200,4285,54485
Springfield, Missouri,168603,39991,127800,51756,2623,54379
Anaheim, California,348204,81806,623300,44856,9413,54269
Honolulu, Hawaii,351554,76495,726000,41863,12228,54091
Frisco, Texas,193140,134210,448000,51662,1834,53496
Buffalo, New York,276011,42186,112900,49176,4251,53427
Spring Valley, Nevada,217441,63494,318000,48352,4937,53289
Santa Clarita, California,227182,106166,591400,45657,7229,52886
McKinney, Texas,189394,106437,349600,50748,1490,52238
Grand Rapids, Michigan,197858,55385,168700,47943,4079,52022
Rochester, New York,211100,40083,93100,44895,6295,51190
Surprise, Arizona,141875,76623,282300,49602,1024,50626
Sioux Falls, South Dakota,189258,66761,218600,44582,5859,50441
Elk Grove, California,175510,106797,466600,48675,1368,50043
Cary, North Carolina,171603,113782,404300,41039,8932,49971
Kansas City, Kansas,155745,50707,112500,44035,5643,49678
Macon-Bibb, Georgia,156711,43862,131400,46897,1783,48680
Aurora, Illinois,183447,79642,208500,37677,10706,48383
Huntington Beach, California,198735,104728,845500,38442,9326,47768
Santa Rosa, California,179213,84823,598700,40437,7234,47671
Vancouver, Washington,188331,67462,343900,42054,5435,47489
Tallahassee, Florida,195057,49077,223400,37289,9862,47151
Newport News, Virginia,185069,57463,204900,40738,6331,47069
Grand Prairie, Texas,195992,73352,203600,43856,2862,46718
Clarksville, Tennessee,163518,58838,172700,44886,1827,46713
Fontana, California,208087,83468,423100,44647,1401,46048
Salt Lake City, Utah,199153,65880,380200,42214,3378,45592
Eugene, Oregon,173278,55776,337200,40112,4936,45048
Moreno Valley, California,208371,73635,353400,43507,1027,44534
Roseville, California,145687,102660,502800,42532,1794,44326
Fort Collins, Colorado,166788,72932,431300,38553,5579,44132
